structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1042156,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,107
1438171,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Deficient,,,,108
1004680,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,109
1287373,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,110
1341632,BIN,,,Active,,,,,,,,,,,,,,,,,,,,111
1087126,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,112
1204141,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,113
1489946,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,114
1239450,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,115
1417425,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Expired,,Active,,116
1413388,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,117
1542081,BIN,,,Active,,,,,,,,,,,,Active,,,,Expired,,,,118
1485041,BIN,,,Active,,,,,,,,,,,,,,,,,,,,119
1035589,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,120
1475400,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Expired,CF-2025-093886,,,121
1454377,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,122
1453357,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,123
1259904,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,124
1403959,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,125
1469039,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,126
1214040,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,127
1369812,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,128
1011568,BIN,,,Active,,,,,,,,,,,,,,,,,,,,129
1367732,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,130
1403790,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,131
1230661,BIN,,,,,,,,,,,,,,,Active,,,,,,,,132
1430387,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,133
1494154,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,134
1542375,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,135
1369949,BIN,,,,,,,,,,,,,,,Active,,,,,,,,136
1508424,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Deficient,,,,137
1438401,BIN,,,Active,,,,,,,,,,,,,,,,,,,,138
1224207,BIN,,,Active,,,,,,,,,,,,,,,,,,,,139
1441771,BIN,,,,,,,,,Active,,,,,,,,,,,,,,140
1375577,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,141
1230673,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,142
1107709,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,143
1056143,BIN,,,Active,,,,,,,,,,Active,,Active,,,,,,,,144
1533354,BIN,,,Active,,,,,,,,,,,,,,,,,,,,145
1436974,BIN,,,Active,,,,,,,,,,,,,,,,,,,,146
1389200,BIN,,,,,,,,,,,,,,,Active,,,,,,,,147
1344488,BIN,,,,,,,,,,,,,,,Active,,,,,,,,148
1203005,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,149
1151271,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,150
1543176,BIN,,,Active,,,,,,,,,,,,,,Active,,Active,,,,151
1037467,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,152
1367674,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,153
1309422,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,154
1088142,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,155
1322214,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,156
1426797,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,157
2001330,BIN,,,,,,,,,,,,,,,,,,,Active,,,,158
1457718,BIN,,,,,,,,,,,,,,,Expired,,,,Active,,,,159
1263251,BIN,,,Active,,,,,,,,,,,,,,,,,,,,160
1330173,BIN,,,Expired,,,,,,,,,,Active,,,,,,Expired,,,,161
1160466,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,162
1444683,BIN,,,Active,,,,,,,,,,,,,,,,,,,,163
1463502,BIN,,,Active,,,,,,,,,,,,,,,,,,,,164
1155158,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,165
1429172,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,166
1427160,BIN,,,Active,,,,,,,,,,,,,,,,,,,,167
1201285,BIN,,,Active,,,,,,,,,,,,,,,,,,,,168
1475841,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,169
1379203,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,170
1013220,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,171
1001456,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,172
1087071,BIN,,,,,,,,,,,,,,,,,,,Deficient,,,,173
1544776,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,174
1116018,BIN,,,Active,,,,,,,,,,,,,,,,,,,,175
1049288,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,176
1187979,BIN,,,Active,,,,,,,,,,,,,,,,,,,,177
1548588,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,178
1434517,BIN,,,Active,,,,,,,,,,,,,,,,,,,,179
1368781,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,180
1401775,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,181
1001853,BIN,,,Active,,,,,,Active,,,,,,,,Active,,Active,,,,182
1381893,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,183
1449442,BIN,,,Active,,,,,,,,,,,,,,,,,,,,184
1013735,BIN,,,Active,,,,,,,,,,,,,,,,,,,,185
1180861,BIN,,,,,,,,,Active,,,,,,,,,,,,,,186
1503221,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,187
1031331,BIN,,,Active,,,,,,,,,,,,,,,,,,,,188
1474169,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,189
1496894,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Expired,,,,190
1428146,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,191
1239195,BIN,,,Active,,,,,,,,,,,,,,,,,,,,192
1474174,BIN,,,Active,,,,,,,,,,,,,,,,,,,,193
1185974,BIN,,,Active,,,,,,,,,,,,,,,,,,,,194
1437640,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,195
1305259,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,196
1366628,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,197
1055524,BIN,,,Active,,,,,,,,,,,,,,,,,,,,198
1533748,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,199
1525227,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,200
1529876,BIN,,,Active,,,,,,,,,,,,Active,,,,Expired,,,,201
1484332,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,202
1459942,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,203
1548087,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,204
1481683,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,205
1201006,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,206
1451438,BIN,,,Active,,,,,,,,,,,,Active,,Active,,Expired,,,,207
1064462,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,208
1032326,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,209
1404498,BIN,,,Active,,,,,,,,,,,,,,,,,,,,210
1152315,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,211
1501272,BIN,,,Active,,,,,,Active,,,,Expired,,,,,,,,,,212
1213575,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,213
1456949,BIN,,,Active,,,,,,,,,,,,,,,,Deficient,CF-2025-081612,,,214
1550775,BIN,,,Active,,,,,,,,,,,,,,,,,,,,215
1014623,BIN,,,,,,,,,,,,,,,Deficient,CF-2025-024512,,,,,,,216
1093001,BIN,,,Active,,,,,,,,,,,,,,,,,,,,217
1429134,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,218
1443854,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,219
1027624,BIN,,,Active,,,,,,,,,,Active,,,,,,Active,,,,220
1017363,BIN,,,Active,,,,,,,,,,,,Active,,,,Expired,,,,221
1275835,BIN,,,Active,,,,,,,,,,,,,,,,,,,,222
1066194,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,223
1033387,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,224
1462412,BIN,,,Active,,,,,,,,,,,,,,,,,,,,225
1448044,BIN,,,Active,,,,,,,,,,,,,,,,,,,,226
1468846,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,227
1368799,BIN,,,Active,,,,,,,,,,Active,,,,,,Expired,,,,228
1366429,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,229
1448034,BIN,,,,,,,,,,,,,,,,,Active,,,,,,230
1507751,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,231
1439688,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,232
1544601,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,233
1537182,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,234
1027297,BIN,,,Expired,,,,,,,,,,Expired,,Active,,,,Expired,,,,235
1379999,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,236
1153882,BIN,,,Active,,,,,,,,,,,,,,,,,,,,237
1457711,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,238
1223104,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,239
1307796,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,240
1151093,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,241
1380127,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,242
1544463,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,243
1230530,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,244
1463003,BIN,,,Deficient,CF-2025-109115,,,,,,,,,Expired,CF-2025-109115,,,Active,,Deficient,CF-2025-109115,,,245
1513778,BIN,,,Active,,,,,,,,,,,,,,,,,,,,246
1375856,BIN,,,,,,,,,,,,,,,Active,,,,Active,,,,247
1281924,BIN,,,,,,,,,,,,,,,,,,,Active,,,,248
1136492,BIN,,,Active,,,,,,,,,,,,,,,,,,,,249
1180786,BIN,,,,,,,,,,,,,,,Active,,,,,,,,250
1089990,BIN,,,Active,,,,,,,,,,,,Active,,,,Deficient,CF-2025-106413,,,251
1007232,BIN,,,Active,,,,,,,,,,,,Deficient,,Active,,Active,,,,252
1003579,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,253
1525205,BIN,,,Active,,,,,,,,,,,,,,,,Deficient,CF-2025-109397,,,254
1488540,BIN,,,Expired,CF-2024-033802,,,,,,,,,,,,,,,Deficient,CF-2024-033802,,,255
1446447,BIN,,,Active,,,,,,,,,,,,,,,,,,,,256
1273679,BIN,,,Active,,,,,,,,,,,,,,,,,,,,257
1279470,BIN,,,Active,,,,,,,,,,,,,,,,,,,,258
1176913,BIN,,,Active,,,,,,,,,,,,,,,,,,,,259
1288526,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,260
1390395,BIN,,,Expired,,,,,,Expired,,,,,,Expired,,,,,,,,261
1054042,BIN,,,,,,,,,,,,,,,Active,,,,,,,,262
1529198,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,263
1017679,BIN,,,Active,,,,,,,,,,,,Active,,,,Deficient,,,,264
1547138,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,265
1475547,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,266
1508902,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,267
1242995,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,Deficient,,,,268
1515430,BIN,,,Active,,,,,,,,,,,,,,,,,,,,269
1463773,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,270
1419059,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,271
1440444,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,272
1403605,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,273
1459630,BIN,,,Expired,,Expired,,,,,,,,Expired,,Active,,Active,,Active,,Active,,274
1011605,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,275
1368355,BIN,,,Active,,,,,,Active,,,,,,Active,,,,,,,,276
1539167,BIN,,,Active,,,,,,,,,,,,,,,,,,,,277
1078334,BIN,,,Active,,,,,,,,,,,,,,,,,,,,278
1219037,BIN,,,Active,,,,,,,,,,,,,,,,,,,,279
1147944,BIN,,,Active,,,,,,,,,,,,,,,,,,,,280
1502768,BIN,,,,,,,,,Expired,,,,,,,,,,,,,,281
1012095,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,282
1408085,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,283
1184277,BIN,,,Active,,,,,,,,,,,,,,,,Expired,CF-2025-059961,,,284
1450277,BIN,,,Expired,,,,,,,,,,,,Expired,,,,,,,,285
1012492,BIN,,,Active,,,,,,,,,,,,,,,,,,,,286
1368967,BIN,,,Active,,,,,,,,,,,,,,,,,,,,287
1376658,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,288
1091356,BIN,,,,,,,,,Expired,,,,,,,,Active,,,,,,289
1477984,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,290
1261949,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,291
1241793,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,292
1056907,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,293
1398102,BIN,,,Active,,,,,,,,,,,,,,,,,,,,294
1439209,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,295
1524313,BIN,,,Active,,,,,,,,,,,,,,,,,,,,296
1107023,BIN,,,Active,,,,,,,,,,,,,,,,,,,,297
1422340,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,298
1514486,BIN,,,Active,,,,,,,,,,,,,,,,,,,,299
1045125,BIN,,,Active,,,,,,,,,,,,,,,,,,,,300
1500714,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,301
1449216,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,302
1544425,BIN,,,,,,,,,,,,,,,,,,,Active,,,,303
1417342,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,304
1053835,BIN,,,Active,,,,,,,,,,,,,,,,,,,,305
1406204,BIN,,,Active,,,,,,,,,,,,Deficient,,,,,,,,306
1387037,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,307
1222365,BIN,,,Active,,,,,,,,,,,,,,,,,,,,308
1451052,BIN,,,,,,,,,Active,,,,,,,,,,,,,,309
1245401,BIN,Expired,,,,,,,,,,,,,,,,,,Expired,,,,310
1431225,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,311
1001240,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,312
1062132,BIN,,,Active,,,,,,,,,,,,,,,,,,,,313
1402503,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,314
1367303,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,315
1474066,BIN,,,Active,,,,,,,,,,,,,,,,,,,,316
1390584,BIN,,,Deficient,,,,,,,,,,,,Expired,,,,Expired,,,,317
1097638,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,318
1266816,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,319
1062810,BIN,,,Active,,,,,,,,,,,,,,,,,,,,320
1435926,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,321
1074381,BIN,,,Active,,,,,,,,,,,,,,,,,,,,322
1269879,BIN,,,Active,,,,,,,,,,,,,,,,,,,,323
1139627,BIN,,,Active,,,,,,,,,,,,,,,,,,,,324
1437638,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,325
1536587,BIN,,,Expired,,,,,,,,,,Expired,,Active,,,,Expired,,,,326
1158362,BIN,,,Expired,,,,,,,,,,,,Deficient,,,,,,,,327
1089602,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,328
1451780,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Active,,,,329
1266419,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,330
1047156,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,331
1387725,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,332
1035732,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,333
1376342,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,334
1449106,BIN,,,Active,,,,,,,,,,,,,,,,,,,,335
1550143,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,336
1427494,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,337
1536637,BIN,,,Expired,,,,,,,,,,,,,,,,Deficient,,,,338
1419691,BIN,,,Expired,,,,,,Expired,CF-2023-005270,,,,,,,Active,,,,,,339
1068744,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Active,,,,340
1072942,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,341
1491007,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,342
1082766,BIN,,,Active,,,,,,,,,,,,,,Expired,CF-2021-011050,Active,,,,343
1095936,BIN,,,Active,,,,,,,,,,Expired,,Expired,,,,Deficient,CF-2025-092217,,,344
1430123,BIN,,,Active,,,,,,,,,,,,,,,,,,,,345
1512770,BIN,,,Active,,,,,,,,,,,,,,,,,,,,346
1550402,BIN,,,Active,,,,,,,,,,,,,,,,,,,,347
1155710,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,348
1386932,BIN,,,Active,,,,,,,,,,,,,,,,,,,,349
1000813,BIN,,,Active,,,,,,,,,,,,,,,,,,,,350
1527270,BIN,,,Expired,,,,,,,,,,Expired,,Expired,,Active,,Expired,,,,351
1110495,BIN,,,Active,,,,,,,,,,,,,,,,,,,,352
1046940,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,353
1411669,BIN,,,Active,,,,,,,,,,,,,,,,Deficient,,,,354
1543264,BIN,,,Active,,,,,,,,,,,,,,Active,,Active,,,,355
1264118,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,356
1283250,BIN,,,Active,,,,,,,,,,,,,,,,,,,,357
1160363,BIN,,,Active,,,,,,,,,,,,,,,,,,,,358
